ADM2_PCODE,ADM_PCODE,female_pop,children_u5,female_u5,elderly,pop_u15,female_u15
ID5203,ID5203,0,0,0,0,0,0
ID5208,ID5208,0,0,0,0,0,0
ID3508,ID3508,0,0,0,0,0,0
ID7317,ID7317,44435,9909,4856,3955,28851,14139
ID7325,ID7325,4000,892,437,356,2597,1273
ID7322,ID7322,161598,36037,17659,14384,104925,51421
ID3519,ID3519,0,0,0,0,0,0
ID3308,ID3308,0,0,0,0,0,0
ID3520,ID3520,0,0,0,0,0,0
ID6411,ID6411,0,0,0,0,0,0
ID3210,ID3210,0,0,0,0,0,0
ID7601,ID7601,0,0,0,0,0,0
ID5321,ID5321,0,0,0,0,0,0
ID3507,ID3507,0,0,0,0,0,0
ID6501,ID6501,3371,729,357,200,2025,990
ID8108,ID8108,0,0,0,0,0,0
ID8103,ID8103,1465,333,163,139,983,480
ID8102,ID8102,0,0,0,0,0,0
ID8101,ID8101,0,0,0,0,0,0
ID7603,ID7603,0,0,0,0,0,0
ID9428,ID9428,13125,2939,1404,330,9314,4372
ID9431,ID9431,0,0,0,0,0,0
ID7604,ID7604,31426,7008,3434,2797,20405,10000
ID7606,ID7606,49532,11046,5413,4409,32161,15761
ID7605,ID7605,140225,31271,15323,12481,91048,44620
ID1202,ID1202,221613,43347,21286,19318,127385,62649
ID5313,ID5313,70,16,8,8,47,23
ID5315,ID5315,0,0,0,0,0,0
ID5319,ID5319,0,0,0,0,0,0
ID9105,ID9105,97736,21889,10454,2456,69359,32555
ID9111,ID9111,13374,2995,1430,336,9491,4455
ID9414,ID9414,0,0,0,0,0,0
ID7308,ID7308,0,0,0,0,0,0
ID9110,ID9110,25365,6156,3000,1018,17335,8406
ID6110,ID6110,87814,17484,8570,6577,51435,25234
ID6104,ID6104,125282,25563,12538,9003,75099,36861
ID1502,ID1502,220567,40252,19718,25473,121875,59821
ID9401,ID9401,0,0,0,0,0,0
ID1811,ID1811,45091,7999,3924,4895,24410,12004
ID9412,ID9412,271575,60823,29047,6824,192724,90459
ID7102,ID7102,69585,16231,8007,4845,47004,23051
ID7105,ID7105,1067,249,123,74,721,353
ID7109,ID7109,3563,831,410,248,2407,1180
ID7106,ID7106,25423,5930,2925,1770,17173,8422
ID3516,ID3516,0,0,0,0,0,0
ID7203,ID7203,0,0,0,0,0,0
ID7212,ID7212,0,0,0,0,0,0
ID1603,ID1603,326254,55514,27198,23295,159276,78214
ID1505,ID1505,1668,330,162,150,935,461
ID1706,ID1706,1687,308,151,195,932,457
ID7402,ID7402,0,0,0,0,0,0
ID7413,ID7413,0,0,0,0,0,0
ID6213,ID6213,184,33,16,16,99,49
ID1606,ID1606,761,127,62,64,361,177
ID1605,ID1605,71759,13196,6465,7302,39950,19597
ID1613,ID1613,80436,14679,7191,9289,44445,21815
ID9404,ID9404,35297,7905,3775,887,25049,11757
ID1115,ID1115,79757,16258,7991,7200,48304,23731
ID5318,ID5318,0,0,0,0,0,0
ID2103,ID2103,31665,6114,3002,2727,18909,9317
ID9429,ID9429,37450,8388,4006,941,26577,12474
ID5312,ID5312,0,0,0,0,0,0
ID3518,ID3518,0,0,0,0,0,0
ID3521,ID3521,0,0,0,0,0,0
ID1201,ID1201,0,0,0,0,0,0
ID1225,ID1225,0,0,0,0,0,0
ID1214,ID1214,1909,355,174,245,1090,534
ID1224,ID1224,0,0,0,0,0,0
ID6504,ID6504,12891,2790,1364,764,7743,3788
ID1610,ID1610,123697,19858,9729,9052,54938,27026
ID1602,ID1602,217324,36757,18022,19828,107306,52777
ID1601,ID1601,143375,24579,12042,10203,70835,34777
ID1608,ID1608,74464,13945,6832,5100,42201,20672
ID1609,ID1609,364587,64362,31568,36772,194461,95592
ID3501,ID3501,0,0,0,0,0,0
ID1221,ID1221,106359,20866,10248,9006,61163,30087
ID1220,ID1220,182073,36635,17986,14684,106713,52469
ID1306,ID1306,164080,31656,15503,15008,94363,46335
ID1216,ID1216,5948,1328,651,380,3776,1853
ID3528,ID3528,0,0,0,0,0,0
ID3601,ID3601,0,0,0,0,0,0
ID3218,ID3218,0,0,0,0,0,0
ID7309,ID7309,740,171,84,85,500,246
ID9410,ID9410,227134,50870,24294,5708,161187,75656
ID7208,ID7208,0,0,0,0,0,0
ID1309,ID1309,176302,34324,16836,15479,101388,49833
ID1312,ID1312,192938,37693,18500,16667,110953,54555
ID6401,ID6401,0,0,0,0,0,0
ID3514,ID3514,0,0,0,0,0,0
ID3318,ID3318,0,0,0,0,0,0
ID9112,ID9112,47428,10622,5073,1192,33657,15798
ID9417,ID9417,0,0,0,0,0,0
ID3326,ID3326,0,0,0,0,0,0
ID1404,ID1404,318285,61102,29980,30688,179341,88137
ID3327,ID3327,0,0,0,0,0,0
ID6409,ID6409,656,114,56,81,358,176
ID1612,ID1612,4915,834,409,351,2391,1174
ID1809,ID1809,0,0,0,0,0,0
ID1813,ID1813,0,0,0,0,0,0
ID1302,ID1302,231790,43657,21383,23650,130997,64313
ID1109,ID1109,193439,39431,19380,17463,117156,57556
ID1118,ID1118,71381,14550,7152,6444,43232,21239
ID7315,ID7315,0,0,0,0,0,0
ID7503,ID7503,331,77,38,23,224,110
ID7602,ID7602,0,0,0,0,0,0
ID3502,ID3502,0,0,0,0,0,0
ID7204,ID7204,33607,7495,3672,2991,21821,10694
ID1810,ID1810,0,0,0,0,0,0
ID3513,ID3513,0,0,0,0,0,0
